eng,viet
"If you talk to a man in a language he understands, that goes to his head. If you talk to him in his language, that goes to his heart.","Nếu bạn nói chuyện với một người đàn ông bằng ngôn ngữ mà anh ấy hiểu, điều đó sẽ in sâu vào đầu anh ấy. Nếu bạn nói chuyện với anh ấy bằng ngôn ngữ của anh ấy, điều đó sẽ đi vào trái tim anh ấy."
Mary came out of the bathroom with only a towel on.,Mary bước ra khỏi phòng tắm chỉ với một chiếc khăn tắm trên người.
"If we ban Chinese students from thinking, what exactly do we expect from them?","Nếu chúng ta cấm sinh viên Trung Quốc suy nghĩ, chính xác thì chúng ta mong đợi điều gì ở họ?"
The plane bound for Beijing is going to take off soon.,Máy bay đi Bắc Kinh sắp cất cánh.
"When I was talking with him, he was constantly looking to his side.","Khi tôi nói chuyện với anh ấy, anh ấy luôn nhìn về phía mình."
I regret not having paid more attention to what the teacher said.,Tôi rất tiếc đã không chú ý nhiều hơn đến những gì giáo viên nói.
Why don't you take some pictures of yourself with scenery of Boston in the background?,Tại sao bạn không chụp vài bức ảnh với phong cảnh Boston ở hậu cảnh?
I want to eat some Korean food that isn't spicy.,Tôi muốn ăn đồ ăn Hàn Quốc không cay.
I want to eat some Korean food that isn't hot and spicy.,Tôi muốn ăn một số món ăn Hàn Quốc không cay và nóng.
Is it okay if I spend the night over at a friend's house?,Tôi có thể ngủ qua đêm tại nhà bạn được không?
Tom might possibly say something we don't want to hear.,Tom có ​​thể sẽ nói điều gì đó mà chúng ta không muốn nghe.
"I tried to leave early, but people kept asking me for help.",Tôi đã cố gắng về sớm nhưng mọi người cứ nhờ tôi giúp đỡ.
Tom might bleed to death if we don't get him to a hospital soon.,Tom có ​​thể chảy máu đến chết nếu chúng ta không đưa anh ấy đến bệnh viện sớm.
Perhaps we should go to Boston next week to visit Tom.,Có lẽ chúng ta nên tới Boston vào tuần tới để thăm Tom.
"If you see Tom, tell him I'm looking for him.","Nếu bạn gặp Tom, hãy nói với anh ấy là tôi đang tìm anh ấy."
The delegation of the United States would like to propose a bilateral solution.,Phái đoàn Hoa Kỳ mong muốn đề xuất một giải pháp song phương.
I asked Tom if I could look through his photo album.,Tôi hỏi Tom liệu tôi có thể xem qua album ảnh của anh ấy không.
What was the name of the guy you dated before Tom?,Anh chàng bạn hẹn hò trước Tom tên là gì?
Winds in this area gust at more than one hundred miles an hour.,Gió ở khu vực này giật với tốc độ hơn một trăm dặm một giờ.
"The lyrics seem innocent enough, but if you listen to them closely, you'll realize how subversive they really are.","Lời bài hát có vẻ ngây thơ nhưng nếu bạn nghe kỹ, bạn sẽ nhận ra chúng thực sự mang tính chất lật đổ đến mức nào."
"Just to be on the safe side, why don't you take an umbrella with you?","Để cho an toàn, sao bạn không mang theo ô nhỉ?"
Tom was shocked by the news that his father had had a heart attack.,Tom bị sốc trước tin cha anh bị đau tim.
A religion that uses fear as a motivator is not a good religion.,Một tôn giáo lấy sự sợ hãi làm động lực thì không phải là một tôn giáo tốt.
This is not my cup of tea. It's Tom's cup.,Đây không phải là tách trà của tôi. Đó là cốc của Tom.
How did Tom get you to help him clean the garage?,Làm thế nào mà Tom lại nhờ bạn giúp anh ấy dọn dẹp gara?
"She is shy, which is why she chose not to say ""I love you"".","Cô ấy nhút nhát, đó là lý do tại sao cô ấy chọn không nói ""Anh yêu em""."
Sixty-nine percent of adult Americans are either overweight or obese.,Sáu mươi chín phần trăm người Mỹ trưởng thành bị thừa cân hoặc béo phì.
My doctor told me that I needed to lose some weight.,Bác sĩ nói với tôi rằng tôi cần phải giảm cân.
Tom is the only one in our family who doesn't have a driver's license.,Tom là người duy nhất trong gia đình chúng tôi không có bằng lái xe.
You've always complained that we don't take enough interest in your business.,Bạn luôn phàn nàn rằng chúng tôi không quan tâm đầy đủ đến doanh nghiệp của bạn.
What? You still don't know how to drive a car?,Cái gì? Bạn vẫn chưa biết lái xe ô tô?
I would like to try it. Where is the fitting room?,Tôi muốn thử nó. Mà là phòng thử đồ?
I'd like to try this on. Where are the fitting rooms?,Tôi muốn thử cái này. Phòng thử đồ ở đâu?
I'm often told I don't look good in a skirt.,Tôi thường bị nói là trông tôi không đẹp khi mặc váy.
Infrared and ultra-violet rays are types of light invisible to the human eye.,Tia hồng ngoại và tia cực tím là những loại ánh sáng mà mắt người không nhìn thấy được.
"I live in Boston in America right now, but I plan on going back to Japan later this year.","Hiện tại tôi đang sống ở Boston, Mỹ nhưng tôi dự định quay lại Nhật Bản vào cuối năm nay."
I had no idea that Tom knew how to speak French.,Tôi không hề biết Tom biết nói tiếng Pháp.
"I visited Paris, but I didn't climb the Eiffel tower, since I'm afraid of heights.",Tôi đã đến thăm Paris nhưng không leo lên tháp Eiffel vì tôi sợ độ cao.
"Twice a week, the gardener would come to mow the lawn, so I could never lie down in the tall grass.","Hai lần một tuần, người làm vườn đến cắt cỏ nên tôi không bao giờ có thể nằm dài trên bãi cỏ cao."
One's face fills with wrinkles because time does not pass in vain.,Khuôn mặt con người đầy nếp nhăn vì thời gian không trôi qua vô ích.
Mr. Goat Butt never told me there would be a partner.,Ông Goat Butt chưa bao giờ nói với tôi rằng sẽ có đối tác.
"If all goes smoothly, I can make two or three pieces a day.","Nếu mọi việc suôn sẻ, tôi có thể làm được hai hoặc ba sản phẩm mỗi ngày."
He fell asleep while he was driving and caused an accident.,Anh ta ngủ quên khi đang lái xe và gây ra tai nạn.
Tom wondered whether it would be hard to find a job in Boston.,Tom tự hỏi liệu tìm được việc làm ở Boston có khó không.
I need your signature on the letter before I can mail it.,Tôi cần chữ ký của bạn trên lá thư trước khi tôi có thể gửi nó.
I love to watch people's reactions when I say who I am.,Tôi thích quan sát phản ứng của mọi người khi tôi nói tôi là ai.
"If you talk to a man in a language he understands, that goes to his head. If talk to him in his language, that goes to his heart.","Nếu bạn nói chuyện với một người đàn ông bằng ngôn ngữ mà anh ấy hiểu, điều đó sẽ in sâu vào đầu anh ấy. Nếu nói chuyện với anh ấy bằng ngôn ngữ của anh ấy, điều đó sẽ đi vào trái tim anh ấy."
What are you piddle-farting around for? I could do that in 10 minutes.,Bạn đang đi loanh quanh để làm gì? Tôi có thể làm điều đó trong 10 phút.
I've been spending a lot of time studying for IT certifications recently.,Gần đây tôi đã dành rất nhiều thời gian để học lấy chứng chỉ CNTT.
That was the first time I'd seen Tom so angry.,Đó là lần đầu tiên tôi thấy Tom tức giận như vậy.
"Tom is the only person who can do that, I think.",Tôi nghĩ Tom là người duy nhất có thể làm được điều đó.
I get the feeling that I've heard that somewhere before.,Tôi có cảm giác là tôi đã từng nghe điều đó ở đâu rồi.
You're going to wreck your eyesight if you play games all the time.,Bạn sẽ làm hỏng thị lực của mình nếu bạn chơi game suốt ngày.
I will try not to interrupt you while you are studying.,Tôi sẽ cố gắng không làm phiền bạn khi bạn đang học.
Don't make fun of me when I'm speaking seriously.,Đừng giễu cợt tôi khi tôi đang nói chuyện nghiêm túc.
"Do you want to eat lunch with me, or go home?",Bạn muốn ăn trưa với tôi hay về nhà?
"If you don't have this software, you can download it now.","Nếu bạn chưa có phần mềm này, bạn có thể tải xuống ngay bây giờ."
The old church is located in the northern part of the city.,Nhà thờ cũ nằm ở phía bắc thành phố.
Why did you interfere in an affair that did not concern you at all?,Tại sao bạn lại can thiệp vào một chuyện không hề liên quan đến bạn?
"If ""internationalization"" means putting every little thing into English, then I think ""internationalization"" is a load of shit.","Nếu ""quốc tế hóa"" có nghĩa là chuyển mọi thứ nhỏ nhặt sang tiếng Anh, thì tôi nghĩ ""quốc tế hóa"" là một thứ rác rưởi."
Of course Tom doesn't want to serve God and money as well.,Tất nhiên Tom cũng không muốn phục vụ Chúa và tiền bạc.
I bought this book at the book store in front of the station.,Tôi mua cuốn sách này ở hiệu sách trước nhà ga.
I'd like some time to consider before I make a decision.,Tôi muốn có thời gian để cân nhắc trước khi đưa ra quyết định.
"As I recall, Tom's house is a little farther in from the main road.","Theo tôi nhớ, nhà Tom cách xa đường chính một chút."
You need to have quick reactions to play these computer games.,Bạn cần phải có phản ứng nhanh để chơi những trò chơi máy tính này.
Could Tom really be as busy as he says he is?,Tom thực sự có thể bận rộn như anh ấy nói không?
"Out of all the people at your school, who do you like the most?","Trong số những người ở trường bạn, bạn thích ai nhất?"
I've put a little bit of milk in my coffee.,Tôi đã cho một ít sữa vào cà phê của mình.
It'll take about thirty minutes to get to the station by taxi.,Sẽ mất khoảng ba mươi phút để đến ga bằng taxi.
"It's likely to rain today, so you'd better take your umbrella.","Hôm nay trời có khả năng mưa, vì vậy bạn nên mang theo ô."
I need to call my parents and tell them I'll be late for dinner.,Tôi cần gọi cho bố mẹ và báo với họ rằng tôi sẽ về muộn bữa tối.
It'll cost you more to fix it than to it would cost you to buy a new one.,Bạn sẽ tốn nhiều tiền hơn để sửa nó hơn là mua một cái mới.
"I don't think it'll rain, but I'll take an umbrella with me, just in case.","Tôi không nghĩ trời sẽ mưa, nhưng tôi sẽ mang theo ô để đề phòng."
We wanted to get out of there as fast as we could.,Chúng tôi muốn ra khỏi đó nhanh nhất có thể.
It'll take you a few weeks to get used to wearing a wig.,Bạn sẽ phải mất vài tuần để làm quen với việc đội tóc giả.
The best way to predict your future is to create it.,Cách tốt nhất để dự đoán tương lai của bạn là tạo ra nó.
I'll try not to disturb you while you're studying.,Tôi sẽ cố gắng không làm phiền bạn khi bạn đang học.
"Why is it okay for women to wear earrings, but not men?",Tại sao phụ nữ được đeo khuyên tai còn đàn ông thì không?
"Look, I already gave you all the help you asked for, and lots more that I was in no way obligated to provide. What more do you want from a guy?","Hãy nhìn xem, tôi đã cung cấp cho bạn tất cả sự trợ giúp mà bạn yêu cầu và nhiều hơn thế nữa mà tôi không có nghĩa vụ phải cung cấp. Bạn còn muốn gì hơn nữa từ một chàng trai?"
That foreigner speaks Japanese as if it were his mother tongue.,Người nước ngoài đó nói tiếng Nhật như tiếng mẹ đẻ của mình.
Tom can't use his cell phone here because he has very expensive roaming charges.,Tom không thể sử dụng điện thoại di động của anh ấy ở đây vì anh ấy phải trả phí chuyển vùng rất đắt.
I sure hope Tom does what he said he would do.,Tôi chắc chắn hy vọng Tom sẽ làm được những gì anh ấy đã nói.
Here's a list of things that Tom needs to do.,Đây là danh sách những việc Tom cần làm.
I don't think it's fair to punish me for a mistake I made years ago.,Tôi không nghĩ thật công bằng khi trừng phạt tôi vì lỗi lầm tôi đã mắc phải nhiều năm trước.
Tom told me there was someone who wanted to see me.,Tom nói với tôi rằng có người muốn gặp tôi.
Are you planning to tell Tom why you wanted Mary to do that?,Bạn có định nói với Tom tại sao bạn muốn Mary làm điều đó không?
There is an whole industry based entirely on preying upon financially vulnerable individuals.,Có cả một ngành công nghiệp hoàn toàn dựa trên việc săn lùng những cá nhân dễ bị tổn thương về tài chính.
"I really want to go home, and so I will pay for the ticket no matter what it costs.",Tôi thực sự muốn về nhà nên tôi sẽ trả tiền vé bất kể giá bao nhiêu đi chăng nữa.
I think Tom will be on the same plane as me.,Tôi nghĩ Tom sẽ ở cùng chuyến bay với tôi.
Would you like to know who bought this jacket for you?,Bạn có muốn biết ai đã mua chiếc áo khoác này cho bạn không?
Tom was shocked when I told him what Mary had bought.,Tom bị sốc khi tôi nói với anh ấy thứ Mary đã mua.
What makes you think I don't want to be here?,Điều gì khiến cậu nghĩ tôi không muốn ở đây?
I knew Tom wouldn't go there if you didn't go with him.,Tôi biết Tom sẽ không đến đó nếu bạn không đi cùng anh ấy.
Tens of thousands of elephants are killed every year for their ivory tusks.,Hàng chục ngàn con voi bị giết mỗi năm để lấy ngà.
I'm so sick of hearing you complaining all the time.,Tôi chán ngấy việc nghe bạn phàn nàn liên tục.
"Tom said he wasn't there yesterday. However, many people saw him there.","Tom nói rằng anh ấy đã không ở đó ngày hôm qua. Tuy nhiên, có nhiều người đã nhìn thấy anh ở đó."
We can only hope the government decides to withdraw its troops.,Chúng ta chỉ có thể hy vọng chính phủ quyết định rút quân.
I still can't speak French as well as I wish I could.,Tôi vẫn không thể nói tiếng Pháp tốt như tôi ước mình có thể.
I had no idea that Tom was planning to tell Mary not to do that.,Tôi không biết Tom có ​​ý định bảo Mary đừng làm vậy.
Tom has gotten sick three times since he's moved to Boston.,Tom đã bị ốm ba lần kể từ khi anh ấy chuyển đến Boston.
I'm sure Tom won't want to do that today.,Tôi chắc chắn Tom sẽ không muốn làm điều đó ngày hôm nay.
I thought you knew Tom was going to be here today.,Tôi nghĩ bạn biết Tom sẽ ở đây hôm nay.
How did you find out that Tom didn't enjoy doing that?,Làm sao bạn biết được Tom không thích làm việc đó?
"There are 24 hours in a day, 60 minutes in an hour, and 60 seconds in a minute.","Một ngày có 24 giờ, một giờ có 60 phút, một phút có 60 giây."
Layla tried to use religion to protect her children from the evils of this world.,Layla đã cố gắng sử dụng tôn giáo để bảo vệ các con mình khỏi những tệ nạn của thế giới này.
How much time do you think you need to do that?,Bạn nghĩ mình cần bao nhiêu thời gian để làm điều đó?
I'm sure Tom won't be excused from doing that.,Tôi chắc chắn Tom sẽ không được miễn trừ khỏi việc làm đó.
How many more days will it take Tom to do that?,Tom sẽ phải mất bao nhiêu ngày nữa để làm được điều đó?
Tom said he didn't have the confidence to do that.,Tom nói rằng anh ấy không có đủ tự tin để làm điều đó.
I don't think I'll ever be able to do that again.,Tôi không nghĩ mình sẽ có thể làm được điều đó lần nữa.
I don't know why my boss chose me to go to Boston.,Tôi không biết tại sao sếp lại chọn tôi đi Boston.
Tom hasn't yet returned the money he borrowed from me.,Tom vẫn chưa trả lại số tiền anh ấy đã mượn của tôi.
"You didn't know that Tom had to do that, did you?","Bạn không biết rằng Tom phải làm điều đó, phải không?"
Tom said he doesn't think it's safe for you to do that.,Tom nói anh ấy không nghĩ bạn làm điều đó là an toàn.
"Tom said he'd be able to do that, but he wasn't able to.",Tom nói rằng anh ấy có thể làm được điều đó nhưng anh ấy đã không thể làm được.
Tom said he didn't think Mary would do that on purpose.,Tom nói anh không nghĩ Mary sẽ cố tình làm vậy.
I didn't think Tom would be able to convince Mary to do that.,Tôi không nghĩ Tom có ​​thể thuyết phục Mary làm điều đó.
Tom wants Mary to know that he really doesn't want to do that.,Tom muốn Mary biết rằng anh ấy thực sự không muốn làm điều đó.
Tom says he doesn't believe Mary really wants to do that again.,Tom nói rằng anh ấy không tin Mary thực sự muốn làm điều đó một lần nữa.
I don't want anyone to know that I'm rich.,Tôi không muốn ai biết tôi giàu.
I don't want to go to the circus with Tom.,Tôi không muốn đi xem xiếc với Tom.
Tom is the only person I can trust to do that.,Tom là người duy nhất tôi có thể tin tưởng để làm điều đó.
"You didn't know Tom had to do that, did you?",Bạn không biết Tom phải làm điều đó phải không?
I didn't have a bicycle when I was growing up.,Tôi không có xe đạp khi lớn lên.
"You wouldn't like it if I did that, would you?",Bạn sẽ không thích nếu tôi làm vậy phải không?
Mary said that she's sure she won't do that.,Mary nói rằng cô ấy chắc chắn mình sẽ không làm điều đó.
Mary wouldn't be happy if she had to do that.,Mary sẽ không vui nếu cô ấy phải làm điều đó.
Mary said she hasn't met any of Tom's brothers.,Mary cho biết cô ấy chưa gặp bất kỳ anh em nào của Tom.
I'll tell Mary she's got nothing to worry about.,Tôi sẽ nói với Mary rằng cô ấy không có gì phải lo lắng cả.
Mary doesn't have as much free time as she used to.,Mary không còn nhiều thời gian rảnh như trước nữa.
Mary has told Tom that she doesn't need to do that.,Mary đã nói với Tom rằng cô ấy không cần phải làm điều đó.
Mary says she knows Tom won't pass his French test.,Mary nói rằng cô ấy biết Tom sẽ không vượt qua được bài kiểm tra tiếng Pháp của mình.
Mary lied to Tom when she said she wouldn't do that.,Mary đã nói dối Tom khi cô ấy nói rằng cô ấy sẽ không làm điều đó.
Mary never told me she didn't know how to speak French.,Mary chưa bao giờ nói với tôi rằng cô ấy không biết nói tiếng Pháp.
Mary says she knows Tom will have to do that on his own.,Mary nói rằng cô ấy biết Tom sẽ phải tự mình làm việc đó.
I know that Tom and Mary are planning on eating together.,Tôi biết Tom và Mary đang dự định đi ăn cùng nhau.
Tom and Mary will need at least $300 to buy what they need.,Tom và Mary sẽ cần ít nhất 300 USD để mua những thứ họ cần.
Tom and Mary will need at least three hundred dollars to buy what they need.,Tom và Mary sẽ cần ít nhất ba trăm đô la để mua những thứ họ cần.
We just want to know if Tom and Mary are coming or not.,Chúng tôi chỉ muốn biết Tom và Mary có đến hay không.
We just want to know whether Tom and Mary are coming or not.,Chúng tôi chỉ muốn biết liệu Tom và Mary có đến hay không.
Your mother must've been very beautiful when she was young.,Mẹ bạn chắc hẳn hồi trẻ rất đẹp.
Tom said he'd ask Mary to eat lunch with him.,Tom nói anh ấy sẽ mời Mary ăn trưa cùng anh ấy.
"Mary is a nice girl, except that she talks too much.","Mary là một cô gái dễ thương, ngoại trừ việc cô ấy nói quá nhiều."
Tom is probably going to tell Mary he intends to do that.,Tom có ​​lẽ sẽ nói với Mary rằng anh ấy có ý định làm điều đó.
Tom didn't want to spend Valentine's Day by himself.,Tom không muốn trải qua ngày lễ tình nhân một mình.
Tom and Mary said they were too busy to do that.,Tom và Mary nói rằng họ quá bận để làm việc đó.
Tell Tom and Mary that I'm too tired to help them.,Nói với Tom và Mary rằng tôi quá mệt để giúp họ.
I don't know what Tom and Mary are going to do.,Tôi không biết Tom và Mary sẽ làm gì.
I think Tom and Mary know how to do that already.,Tôi nghĩ Tom và Mary đã biết cách làm điều đó rồi.
Tom and Mary don't need me to tell them how to do it.,Tom và Mary không cần tôi chỉ cho họ cách làm.
Tom and Mary said that they really wanted to do that.,Tom và Mary nói rằng họ thực sự muốn làm điều đó.
Do you know the song Tom and Mary want you to sing?,Bạn có biết bài hát Tom và Mary muốn bạn hát không?
How long do you think Tom and Mary were watching us?,Bạn nghĩ Tom và Mary đã theo dõi chúng ta bao lâu?
I don't think Tom and Mary want to do that tomorrow.,Tôi không nghĩ Tom và Mary muốn làm điều đó vào ngày mai.
I don't think Tom and Mary are capable of doing that.,Tôi không nghĩ Tom và Mary có khả năng làm điều đó.
Tom says he plans on staying in Boston as long as he can.,Tom nói rằng anh ấy dự định ở lại Boston lâu nhất có thể.
Tom told me he didn't want to come home empty-handed.,Tom nói với tôi rằng anh ấy không muốn về nhà tay không.
Tom told me Mary said she didn't want to do that anymore.,Tom kể với tôi rằng Mary nói cô ấy không muốn làm việc đó nữa.
He behaved as if he were a detective; I think he reads too many detective stories.,Anh ta cư xử như thể anh ta là một thám tử; Tôi nghĩ anh ấy đọc quá nhiều truyện trinh thám.
Tom doesn't know when Mary is planning on going to Boston.,Tom không biết khi nào Mary dự định đi Boston.
Tom told me that Mary said she didn't want to do that anymore.,Tom kể với tôi rằng Mary nói cô ấy không muốn làm việc đó nữa.
I don't like my wife to call me at work.,Tôi không thích vợ tôi gọi điện cho tôi ở nơi làm việc.
I wonder whether or not Tom forgot to tell Mary she needed to do that.,Tôi tự hỏi liệu Tom có ​​quên nói với Mary rằng cô ấy cần phải làm điều đó hay không.
Tom and Mary aren't old enough to get married yet.,Tom và Mary chưa đủ tuổi kết hôn.
I don't care if Tom and Mary go or not.,Tôi không quan tâm Tom và Mary có đi hay không.
I went back to bed and slept for three more hours.,Tôi quay lại giường và ngủ thêm ba tiếng nữa.
I've come here today to talk about the dangers of proprietary software.,Hôm nay tôi đến đây để nói về sự nguy hiểm của phần mềm độc quyền.
I was surprised when I found out Tom had a motorcycle.,Tôi rất ngạc nhiên khi biết Tom có ​​một chiếc xe máy.
I was surprised when I found out that Tom had a motorcycle.,Tôi rất ngạc nhiên khi biết Tom có ​​một chiếc xe máy.
The coat Tom wanted was too expensive. That's why he didn't buy it.,Chiếc áo khoác mà Tom muốn thì quá đắt. Đó là lý do tại sao anh ấy không mua nó.
I didn't know Tom had to do that by himself.,Tôi không biết Tom phải tự mình làm việc đó.
I didn't know that Tom had to do that by himself.,Tôi không biết rằng Tom phải tự mình làm điều đó.
Indiana Jones wondered if it wasn't a trap when the room became silent.,Indiana Jones tự hỏi liệu đó có phải là một cái bẫy hay không khi căn phòng trở nên im lặng.
"If I'd known Tom's address, I could've visited him.",Nếu tôi biết địa chỉ của Tom thì tôi đã có thể đến thăm anh ấy.
"If Tom had had time, I'm sure he would've visited Mary.","Nếu Tom có ​​thời gian, tôi chắc chắn anh ấy sẽ đến thăm Mary."
"If Tom had had time, I'm sure he would have visited Mary.","Nếu Tom có ​​thời gian, tôi chắc chắn anh ấy sẽ đến thăm Mary."
"If I'd known Tom's address, I could have visited him.","Nếu tôi biết địa chỉ của Tom, tôi đã có thể đến thăm anh ấy."
